Company,Stock Symbol,Transaction Date,Transaction Type,Shares,Share Price ($),Transaction Amount ($)
Gates Group,rFNF,2023-01-12,Dividend,960,123.9,78599.63
"Carpenter, Kelly and Johnson",xvjF,2023-06-20,Sell,671,181.97,72855.41
Castillo LLC,rVjL,2024-01-27,Buy,284,267.88,99663.14
Olson-Navarro,sGDu,2023-01-24,Interest,530,149.83,44826.39
Curtis-Brock,kvpN,2022-10-22,Buy,800,283.35,5223.74
Jenkins-Clements,KPtj,2023-04-30,Buy,72,243.28,37156.29
Mitchell Group,mqWn,2023-03-09,Buy,820,460.94,62969.07
Sandoval Group,ocsz,2024-06-22,Buy,829,126.56,13538.73
West Group,GvTO,2022-12-06,Dividend,522,436.03,41855.02
White LLC,IUPg,2023-12-19,Buy,2,25.53,11060.74
"Kelly, Lawson and Hanson",aACf,2023-06-04,Sell,913,467.79,52140.68
"Watkins, Vega and Zimmerman",ANhx,2022-10-08,Dividend,535,387.39,74032.01
"Moreno, Williams and Cohen",HQzA,2023-11-27,Dividend,852,116.69,35909.18
"Compton, Bell and Ferguson",wVrT,2024-06-10,Dividend,22,63.43,65834.09
Cooley-Ellis,Xpzq,2022-11-08,Interest,640,306.73,70872.64
"Martinez, Williams and Jones",lvMR,2022-12-10,Sell,217,499.11,2130.62
Mays-Carlson,ACML,2022-10-27,Sell,514,141.71,27572.32
Long-Walker,uKXj,2023-10-31,Buy,723,80.03,40449.94
"Holt, Sloan and Rice",KPla,2023-07-10,Dividend,928,360.28,69755.19
"Castro, Schmitt and Edwards",CeQX,2024-08-23,Interest,93,394.03,85600.16
"Schwartz, Garcia and Carter",GvWv,2023-03-01,Dividend,363,59.1,8142.7
Schmidt-Wong,IWxY,2024-09-08,Dividend,990,143.97,71778.86
Richard Inc,hRQw,2024-07-24,Buy,654,400.04,23055.12
Yates-Wilson,Rapi,2022-11-09,Dividend,83,29.59,58459.08
Cuevas PLC,CvwX,2024-03-05,Sell,971,295.65,14589.48
Mitchell-Gallagher,PWaD,2023-12-09,Buy,217,316.37,51060.45
Williams PLC,MpaX,2023-01-04,Interest,356,235.58,21074.21
"Williams, Cox and Cameron",siiM,2024-07-22,Dividend,533,496.1,94079.75
Hill Group,psXt,2023-06-20,Buy,657,276.43,61683.59
"Anderson, Hart and Smith",aLQu,2023-11-29,Sell,698,349.5,74597.03
"Howard, Wright and Mcintyre",QnrI,2024-08-05,Sell,315,67.75,35384.21
Barnes-Smith,Gfez,2022-12-03,Buy,364,18.18,49158.17
Byrd Inc,vpBs,2023-10-23,Interest,241,22.01,22675.72
"Wright, Pierce and Sanders",ZIdz,2022-12-10,Interest,569,243.84,79956.52
Gonzalez-Barnes,xsQH,2023-06-07,Interest,535,52.01,38630.77
Smith Inc,qhlx,2023-04-04,Interest,18,389.69,29940.59
Neal-Pitts,UyDX,2024-08-05,Dividend,486,68.74,72068.31
Wilson Inc,albC,2023-09-19,Interest,158,46.41,78945.59
"Clark, Garza and Avila",lvPP,2023-11-25,Dividend,201,306.64,20093.49
Taylor Group,pqXR,2024-08-13,Interest,357,365.27,86485.43
"Morris, Hall and Andrews",PGDB,2024-07-23,Dividend,819,217.9,50907.16
"Valdez, Hines and Harris",gMLa,2024-09-06,Interest,13,154.38,78541.35
Jackson and Sons,ctsg,2023-05-01,Dividend,367,144.42,58343.39
"Rose, Schultz and Wilkerson",qjAG,2023-01-16,Sell,363,389.01,2147.25
"Mitchell, Wade and Cain",OpKA,2022-12-25,Dividend,928,117.16,85101.6
Love Group,sLlq,2023-07-23,Interest,644,56.9,77750.17
Johnson LLC,NpaV,2023-11-02,Sell,173,382.01,91588.95
Gilbert-Cordova,KpOr,2022-11-18,Sell,221,20.67,32486.44
Fisher-Jackson,oYGC,2023-03-01,Sell,908,355.41,58325.81
Willis LLC,oTQv,2023-03-03,Buy,577,116.59,25297.74
"Henderson, Miller and Guzman",xSFp,2023-08-21,Dividend,572,131.19,19662.3
"Strickland, Paul and Rojas",oYKu,2024-04-12,Dividend,915,50.4,61968.01
Wright-Bird,PVYl,2022-11-06,Dividend,779,473.9,73938.42
Black and Sons,QmVi,2023-11-08,Dividend,718,83.13,88906.88
"Key, Browning and Hammond",RjJw,2024-03-13,Interest,441,406.11,51331.64
Green-Gomez,SUeW,2023-04-05,Buy,665,488.47,7307.69
"Newman, Esparza and Sutton",RMEe,2024-06-03,Interest,867,421.63,19398.22
Adams and Sons,KzUv,2022-10-18,Dividend,825,76.37,35808.07
"Thornton, Walker and Bates",BUym,2022-10-20,Dividend,426,275.26,35292.42
"York, Roman and Bean",rygz,2023-11-13,Dividend,380,345.22,40235.64
Williams LLC,WFeK,2022-11-18,Dividend,339,79.71,23345.18
"Anderson, Flynn and Coleman",vHUn,2023-05-25,Buy,880,122.13,50641.82
Johnson-Grant,IsmU,2023-04-19,Interest,440,351.97,18168.94
Riggs-Griffin,MnoS,2023-10-05,Sell,906,379.27,89714.92
Rice-Reyes,jlPB,2022-10-25,Sell,965,426.9,69741.63
"Castaneda, Hunt and Lara",euuH,2023-03-06,Buy,323,491.0,29155.27
Mathis-Carter,xWaD,2023-06-16,Interest,984,404.79,47763.54
Hendricks LLC,IVFC,2024-01-22,Interest,794,291.09,51977.94
Obrien PLC,hajL,2024-05-04,Sell,885,465.69,44746.15
Estes-Pearson,cULu,2023-08-07,Buy,779,392.71,62641.75
Martinez-Cross,JpGT,2022-09-27,Dividend,826,172.17,53261.2
Jackson-Medina,Wexb,2024-08-28,Sell,969,222.14,83429.99
"Stokes, Riley and Weaver",qpig,2024-05-21,Interest,971,422.89,13233.28
Morrow-Velez,wnMl,2023-07-06,Sell,751,151.78,68392.35
David-Grimes,xMWy,2022-10-31,Sell,383,80.31,67198.58
"Pearson, Weber and Porter",Thfp,2024-01-28,Interest,803,92.45,79657.58
Short Inc,lneh,2023-09-17,Buy,96,221.99,86212.53
Guerrero Inc,zAeI,2023-12-25,Interest,264,175.85,33437.78
"Johnston, Frye and Mullins",BbrK,2023-02-14,Buy,985,129.49,84846.46
"Clements, Gonzalez and Bennett",lnbB,2024-08-19,Buy,679,368.31,48226.23
"Rodriguez, Johnson and Hawkins",zWFM,2023-07-23,Sell,400,211.87,50264.07
Ellis LLC,Uaqw,2024-05-07,Interest,635,194.74,91338.23
"Jones, Jones and Thompson",BJZF,2022-12-03,Interest,172,315.14,47885.31
"Estrada, Silva and Wilson",jPqe,2024-02-17,Sell,979,179.65,6471.07
"Chung, Krueger and Dominguez",nbAL,2023-12-01,Dividend,581,188.33,52021.51
Johnson LLC,VyKj,2024-01-15,Sell,835,207.37,76313.85
"Allen, Lopez and Garrett",tTMR,2023-04-19,Sell,641,454.45,69910.07
"Johnson, George and Jenkins",focN,2024-08-21,Interest,63,179.71,23583.79
Rios-Rodriguez,bZmo,2023-01-14,Sell,610,432.23,30511.88
Mason-Robles,hqTH,2022-11-02,Buy,847,462.02,75490.93
Lane LLC,XyMV,2022-12-06,Dividend,554,411.5,33329.04
Johnson Inc,LRqd,2024-08-06,Sell,388,402.1,15532.6
"Hardin, Wilson and Johnson",iccj,2023-09-13,Sell,860,397.52,60222.4
"Cooper, Haas and Bowen",gaql,2023-06-25,Sell,723,276.09,28092.41
"Hernandez, Baker and Williams",lHYa,2023-01-14,Sell,95,425.83,1352.71
Nichols-Francis,mtMP,2023-06-05,Dividend,17,150.96,72242.87
"Foley, Greer and Banks",WJUM,2024-04-01,Buy,537,219.62,48611.89
"Thomas, Thompson and Martin",dceg,2024-08-08,Buy,776,442.48,40401.0
Mcconnell and Sons,rzxb,2024-06-26,Buy,289,52.85,12984.71
Meyer-Shepherd,PZeg,2023-12-08,Interest,483,268.94,26481.65
Washington-Cox,tuSu,2022-10-14,Buy,339,160.3,32744.51
Huang-Gonzalez,qACl,2023-10-14,Buy,884,337.55,59970.07
Bush-Griffith,WfNU,2023-08-17,Interest,978,10.97,11532.22
Jackson-Walters,PtUZ,2024-09-10,Buy,545,332.65,29056.94
"Ramirez, Johnson and Boone",xeFr,2024-03-03,Interest,212,494.13,53067.12
Turner and Sons,ICUV,2022-11-20,Interest,219,469.68,34013.24
"Schroeder, Ramos and Dalton",DXjD,2023-07-10,Interest,180,149.66,70704.93
Silva Group,Hhos,2024-07-21,Dividend,719,182.11,56450.4
Harris and Sons,cNIN,2023-06-30,Interest,218,219.88,35552.77
"Fields, Foster and Cohen",cfnl,2024-09-07,Sell,988,16.37,26986.79
"Garcia, Ayala and Davis",QZgX,2023-03-10,Interest,821,178.23,29526.44
Peters Group,qPRc,2024-04-29,Sell,745,419.75,12400.03
Stout-Williams,LwEs,2024-06-22,Buy,65,81.84,76579.85
Logan and Sons,ZWRw,2024-05-07,Interest,35,224.03,54417.63
"Parker, Allen and Turner",DYQU,2022-12-22,Buy,174,135.56,73859.77
Cohen-Adams,TmOJ,2024-01-02,Interest,352,231.48,81286.56
Cox-Peters,wEXn,2024-07-22,Dividend,79,265.77,68972.43
Aguirre-Morris,pptf,2023-05-22,Sell,928,396.37,2870.73
Vasquez PLC,pRna,2024-04-25,Interest,982,346.82,5444.61
"Bell, Anderson and Boyer",CmuH,2022-10-09,Dividend,1,361.83,76935.81
Jacobson-Yang,evFN,2023-12-13,Dividend,42,330.68,11858.05
Klein Inc,PDIi,2023-08-30,Buy,974,66.88,61429.89
Fletcher-Mathis,eADy,2024-01-23,Buy,571,153.3,27391.34
"Moore, Morris and Mann",viaY,2022-10-20,Interest,481,494.4,9814.91
Williams LLC,OOVU,2022-10-12,Interest,155,369.4,57000.76
Garcia Ltd,cGtx,2023-09-07,Interest,860,160.19,1521.48
"Jones, Schultz and Mckee",uGlX,2024-01-02,Dividend,68,414.88,60325.21
Garrison PLC,yQMw,2024-08-19,Buy,926,127.8,15108.15
Medina LLC,jqyO,2023-06-04,Dividend,728,349.94,41975.17
Torres Ltd,LICi,2022-12-25,Dividend,98,291.38,78906.25
"Lynch, Maldonado and Pennington",JqDJ,2024-04-04,Sell,216,177.48,68804.54
Fuller-Johnson,ZRZs,2023-08-27,Dividend,464,49.68,66900.32
"Cabrera, Hensley and Santana",nTKl,2023-05-31,Interest,636,413.71,55110.91
Freeman-Gillespie,mVxp,2022-10-27,Dividend,994,169.81,46515.59
Walsh-Marshall,Bwxv,2022-10-04,Sell,5,319.62,34635.99
Hughes and Sons,hhRl,2024-01-18,Dividend,291,304.71,78535.77
"Rose, Nicholson and Hooper",memg,2024-04-07,Interest,214,403.69,32071.31
Harris-Richardson,YaZj,2022-12-24,Dividend,724,219.27,17598.31
"Dunn, Smith and Martin",Bitt,2023-12-18,Dividend,299,370.92,79678.69
Rivera-Thompson,Gdtw,2023-12-21,Interest,155,197.98,9980.48
Edwards-Cruz,ADHq,2024-07-06,Sell,88,127.96,70234.4
"Hubbard, Young and Silva",ViKZ,2024-08-10,Dividend,431,171.76,17973.58
Richards PLC,FqfO,2022-10-19,Dividend,641,487.97,89666.0
Brown-Jenkins,PPjO,2024-01-24,Interest,945,337.97,94147.73
Moore LLC,CFvY,2024-04-21,Interest,131,162.58,59489.8
Aguirre Group,rzRe,2022-12-17,Interest,264,71.61,92369.15
"Terry, Caldwell and Blackburn",qSTs,2022-12-18,Dividend,591,462.34,58620.11
Ramirez Group,VhBA,2023-04-07,Buy,791,54.33,10556.01
Levy PLC,Liig,2023-03-22,Sell,366,73.59,79065.02
Martin-Hill,jyiN,2023-10-18,Dividend,862,53.65,92636.5
"Carter, Green and Jones",zepa,2024-05-27,Interest,780,314.87,89620.91
Lucas-Lewis,odQt,2023-01-10,Buy,341,392.83,34120.96
"Ponce, Price and Silva",xZba,2023-04-04,Sell,83,73.93,18376.44
"Schultz, Morgan and Jones",LHuH,2023-11-30,Buy,274,446.8,48444.41
"Clark, Howard and Jenkins",HGXO,2023-02-19,Dividend,627,298.55,4039.72
Burns PLC,jmbO,2023-01-08,Interest,508,303.4,77676.05
Chapman-Thompson,YyQJ,2023-09-29,Buy,163,184.19,89731.73
Bonilla-Kelly,zpET,2022-09-22,Sell,408,272.07,24505.54
"Jordan, Santiago and Frazier",fGkE,2023-08-05,Buy,797,22.25,49586.99
Castillo Ltd,NVku,2024-05-12,Sell,621,448.06,80269.77
Romero Inc,XfCq,2024-06-15,Dividend,298,19.92,54340.53
"Garner, Dixon and Wheeler",eEuL,2022-12-05,Sell,309,235.75,3202.34
"Blackwell, Murray and Mathis",ieQi,2024-03-12,Interest,734,279.21,23982.56
Wheeler and Sons,VbCM,2024-06-02,Sell,224,97.19,63066.62
Rodriguez-Gonzalez,Rdqe,2024-07-03,Buy,683,72.13,94288.65
Fernandez Ltd,TFkq,2022-09-30,Interest,673,186.33,28585.21
Alvarez-Robinson,SkJr,2023-04-22,Interest,641,448.34,8331.62
Santana LLC,xqUd,2024-02-24,Interest,543,273.9,63146.28
Patterson-Reyes,NdMq,2023-04-13,Buy,549,59.01,92772.31
Garner PLC,NZqE,2023-07-26,Interest,702,88.6,56520.05
Hill Inc,xvSl,2024-01-25,Interest,655,305.73,74427.49
Hall-Briggs,vwDl,2023-01-03,Buy,200,270.11,23142.87
Blair-Owens,bOXg,2023-01-16,Sell,896,204.8,68351.82
Davis LLC,yJnn,2024-07-17,Dividend,605,133.26,60901.79
"Torres, Fisher and Salazar",VtLN,2023-08-20,Buy,613,102.34,79933.69
"Baldwin, Rogers and Dillon",axLy,2023-09-26,Dividend,943,253.13,81199.99
Watson PLC,vVtl,2023-03-22,Interest,137,130.25,55580.03
Jones-Johnson,KoQp,2023-11-13,Sell,513,364.64,61298.16
"Williams, Terry and Ball",hRzA,2024-06-02,Sell,871,385.53,65722.92
Davis-Rowe,ylzC,2023-12-29,Interest,273,133.46,45832.15
Collins-Ibarra,omGF,2024-03-27,Buy,701,155.45,65079.43
"Rodriguez, Johns and Franco",eKTG,2023-09-22,Buy,532,178.34,44957.84
Castillo Group,ZNwU,2023-11-18,Buy,781,465.27,60224.73
Chavez Group,anrZ,2024-08-30,Sell,863,130.6,71681.15
Wilson Inc,jnmh,2023-07-08,Buy,626,119.02,52818.17
Byrd-Waters,fngh,2023-03-06,Dividend,98,454.68,39938.79
Holder-Mcdonald,LTxR,2023-07-21,Sell,642,71.34,75541.13
Miller-Randall,gvuE,2023-11-14,Dividend,590,294.0,50239.38
Woods Group,oTFp,2023-07-11,Interest,212,382.41,80625.36
Shaw-Schmidt,kbeu,2022-10-14,Sell,944,373.09,20634.64
Saunders LLC,lJkL,2023-06-15,Interest,385,245.7,4630.49
Casey PLC,EfyP,2024-07-13,Interest,172,399.7,17391.18
"Zamora, Fernandez and Lopez",kjNP,2024-07-07,Buy,640,225.48,71763.92
Brown Group,Indp,2023-04-14,Dividend,307,168.53,79447.82
Ward Group,ZCUb,2024-04-08,Sell,648,186.84,21380.16
Bernard-Wells,jIGz,2023-06-12,Dividend,52,174.74,12222.44
Smith-Cervantes,jxHO,2023-01-20,Interest,214,121.15,67356.33
Mason-Cox,DNxl,2024-05-25,Interest,841,209.39,11537.47
Weaver-Lopez,RfIp,2023-08-30,Buy,454,273.37,50190.8
Williams Inc,VPPG,2024-04-26,Sell,178,359.68,59516.78
"Bailey, Stanley and Bennett",LdtB,2024-03-31,Buy,933,477.62,95864.63
"Price, Green and Ruiz",IPvA,2022-10-22,Buy,2,77.61,27951.45
"Simmons, Payne and Pierce",hcEX,2024-01-01,Buy,393,475.85,61438.92
Smith PLC,MCkj,2024-09-03,Dividend,846,241.02,18626.84
"Whitney, Wong and White",aZnS,2024-09-06,Interest,606,398.87,3057.23
Hernandez Inc,YbvK,2023-03-23,Buy,276,268.82,10038.94
Hawkins-Doyle,BVSZ,2023-09-21,Sell,978,372.26,94145.21
Obrien-Chapman,MkaU,2024-05-30,Sell,193,484.72,39815.0
Johnson-Castro,RQDd,2022-10-03,Sell,551,220.22,30578.53
"Rivas, Wilson and Chang",ZcPT,2022-12-18,Dividend,511,23.41,51858.99
Holt Inc,cigR,2023-07-06,Buy,908,371.96,8246.78
Aguilar-Schultz,adpd,2024-07-16,Dividend,900,273.83,20244.39
"Gardner, Hayes and Reeves",KGWH,2022-10-29,Sell,967,415.61,27902.18
Mejia-Rice,oBns,2023-03-11,Sell,486,176.72,34099.37
Turner-Brown,qftV,2024-01-22,Sell,917,112.21,16160.6
Garcia-Gardner,fxCz,2022-10-09,Buy,562,215.93,18849.22
Thomas-Mendoza,KYHl,2023-09-23,Sell,611,222.65,77170.1
"Ramirez, Velasquez and Haas",hOjK,2023-04-08,Sell,540,462.99,56123.08
"Wilson, Cooper and Edwards",eHJX,2024-05-18,Interest,251,270.7,32524.51
Nielsen-Chambers,jaBT,2024-07-23,Sell,875,338.86,68322.98
"Bradley, Juarez and Hicks",aBXN,2023-01-05,Dividend,275,114.87,65440.88
"Miles, Campbell and Martinez",eJdC,2023-06-01,Interest,41,383.3,68244.72
Ballard and Sons,zGBC,2023-12-02,Buy,65,400.31,30814.4
Miller and Sons,ZtDm,2024-09-16,Interest,432,97.97,82521.53
Martin Inc,kFnT,2024-09-06,Dividend,340,77.49,33377.19
Li Group,OXsl,2022-11-01,Dividend,209,94.84,19697.5
Moon Group,FNTr,2023-02-16,Dividend,356,390.68,28160.31
"Johnson, Mcbride and Herrera",htNo,2023-02-14,Interest,525,247.08,57574.01
Harrison-Chambers,DtYD,2023-11-30,Buy,525,356.25,34392.29
"Mccarthy, Herrera and Romero",pqbg,2023-12-30,Interest,622,324.82,51463.21
"Wilkinson, Ross and Armstrong",EPLt,2023-05-28,Sell,342,78.04,3531.43
Meza Group,TyFq,2024-07-11,Interest,291,347.93,51680.28
Lucas-Washington,nQGB,2023-01-05,Interest,579,215.48,76616.75
Brooks Ltd,OzHw,2023-07-21,Interest,628,490.63,97055.9
Blair-Orozco,kyjG,2023-08-02,Dividend,158,484.06,69274.95
"Smith, Carson and Washington",ikvQ,2024-08-16,Sell,363,337.3,11510.55
"Mcdaniel, Everett and Gray",Gbht,2022-10-05,Buy,228,315.64,99542.71
Sanders PLC,iuwc,2024-08-08,Interest,812,332.2,31591.8
Roberts-Jimenez,HyMg,2023-01-26,Dividend,615,165.49,24993.44
Allen Ltd,ctLe,2023-10-05,Interest,756,468.0,5164.76
Cummings and Sons,evoX,2023-08-03,Interest,619,96.03,40549.98
Kelley LLC,qvOC,2023-07-27,Buy,398,56.21,91898.21
"Schmidt, Jones and Barrera",HzjQ,2024-09-04,Sell,812,303.46,96354.49
Garcia-Davis,ORKn,2024-02-18,Interest,84,280.93,86278.78
Lang Inc,hTmR,2023-06-04,Buy,177,250.6,99953.85
Mcmahon Group,PDsu,2024-06-03,Dividend,622,322.41,76961.4
"Jackson, Jones and Rios",WGSM,2024-07-17,Sell,98,446.48,54833.7
Price LLC,tBNb,2022-10-21,Buy,543,133.06,9301.04
Tate Ltd,ijku,2024-03-28,Dividend,178,139.26,46720.17
Frederick-Jimenez,UZwY,2023-12-31,Dividend,731,232.94,96238.39
"Rocha, West and Ward",kBkf,2023-08-28,Dividend,944,205.91,96941.11
Watts-Williams,Rrqf,2022-12-13,Interest,233,407.08,19137.28
Gonzales-Escobar,hiod,2024-08-09,Interest,552,61.94,79253.34
Bowman-Evans,akyk,2024-04-11,Buy,435,269.54,61622.63
Powell-Briggs,uftu,2022-10-18,Dividend,548,265.73,95289.96
Smith Ltd,zMiO,2024-02-07,Buy,202,489.38,51318.7
"Johnson, Smith and Pineda",sdEQ,2024-02-06,Dividend,294,134.22,1398.12
Rodriguez-Torres,qNSI,2024-06-20,Sell,629,26.44,90835.64
Holland-Medina,XQrn,2023-06-28,Sell,866,257.51,16617.33
"Rogers, Stewart and Krueger",GNGm,2024-02-10,Sell,859,30.13,30299.98
Jacobs and Sons,yEEg,2024-04-19,Interest,201,375.0,69353.92
Anderson-Davenport,knry,2023-11-15,Sell,475,125.18,42720.43
Hill-Cline,LlkO,2022-10-19,Dividend,177,362.07,27130.56
Lindsey LLC,bDyW,2024-04-21,Buy,41,102.21,45250.55
Jones-Thompson,PJKS,2023-02-20,Dividend,548,117.56,55796.68
"Stewart, Miller and Moore",kFBS,2023-02-13,Dividend,800,118.53,53089.43
Ortega-Taylor,akLo,2024-08-29,Buy,197,435.14,82730.72
Gregory and Sons,aVNB,2024-02-20,Buy,86,269.19,99177.23
Lee-Oliver,YPDO,2023-08-23,Interest,979,159.06,39558.56
Young-Jensen,hwUL,2022-10-24,Sell,343,190.92,89202.9
Miller-Jackson,XaeK,2022-10-30,Sell,456,316.31,89515.25
Jones and Sons,wzci,2022-12-14,Buy,701,336.93,26638.38
Moss LLC,uHrV,2024-04-04,Sell,370,7.8,8376.69
White-Reid,OYwL,2023-12-22,Dividend,711,345.13,63692.84
"Stevenson, Baker and Robinson",EUdx,2023-08-22,Sell,861,250.04,78907.96
Edwards and Sons,ouqv,2022-10-28,Interest,711,211.4,70485.7
Hunt-Martin,hQqU,2023-06-10,Buy,775,109.62,81992.45
Sanchez-Pacheco,uYXK,2023-10-28,Dividend,434,23.28,35468.64
Phillips-Chase,GSMV,2024-07-24,Dividend,221,279.64,94392.5
Morris-Parker,tfBg,2024-02-01,Buy,881,409.94,30249.38
"Moore, Schultz and Palmer",jSLJ,2023-08-20,Buy,785,351.15,1429.54
"Roth, Burch and Trujillo",XHlG,2024-02-08,Buy,566,138.66,17129.27
Mathis-Walsh,SmTJ,2023-03-01,Buy,867,375.13,75988.12
Smith-Rowe,rcib,2023-02-04,Sell,124,101.27,82589.13
Barker-Wallace,sKsy,2023-12-23,Sell,841,355.33,90398.25
Reyes-Gordon,Wbyc,2023-03-19,Interest,733,102.38,57350.89
Stone Inc,fozb,2024-01-21,Dividend,914,429.25,61708.37
Baldwin-Hunt,qKBf,2022-10-25,Buy,61,478.25,78419.85
Stevens Inc,ZyNw,2023-07-08,Dividend,748,386.11,60479.5
Vargas PLC,Dyic,2023-03-07,Dividend,541,427.19,91696.03
"Cruz, Barnett and Morales",XAOb,2023-02-17,Sell,67,200.17,18210.54
Duffy Group,XOFr,2024-08-01,Dividend,918,36.57,59068.28
Vega LLC,RiVA,2023-09-24,Sell,414,325.31,1309.1
"Cook, Lewis and Becker",paVY,2023-07-04,Interest,229,470.41,19233.46
Klein-Ritter,QiRZ,2023-01-21,Dividend,51,41.76,16985.7
Daniels-Trujillo,OGnY,2024-09-09,Dividend,541,491.55,94056.57
Roberts Ltd,ITje,2023-02-08,Sell,19,217.73,50981.5
Green-Ortiz,wtlW,2024-01-12,Buy,915,197.76,92501.93
"Clayton, Morgan and Ross",Byht,2023-06-23,Sell,321,123.54,92319.37
Spencer-Oconnor,bxfU,2022-09-28,Dividend,190,249.67,7866.82
Stevens-Haynes,McGO,2023-03-11,Dividend,283,267.88,89292.15
"Myers, Lara and Davis",Unoy,2023-10-11,Buy,961,92.84,23736.54
Stephens-Beck,jqdJ,2024-02-27,Dividend,289,318.06,16870.35
Miller-Gutierrez,LNPc,2022-09-27,Sell,203,190.38,10960.29
"Nelson, Collins and Johnson",GuCR,2023-02-23,Sell,470,94.57,69990.7
Wolfe Inc,ZsEM,2024-05-08,Sell,908,467.48,40274.41
"Beck, Gray and Cohen",SLor,2024-03-31,Sell,394,498.64,73700.96
Elliott-Lester,EDuc,2023-10-23,Interest,427,380.16,46985.91
Smith-Roberts,VoSm,2022-11-05,Buy,177,277.08,35929.94
Coleman Group,SDbT,2023-01-25,Buy,462,114.83,35070.96
Ruiz Group,VnVU,2023-02-21,Buy,215,259.21,42275.59
Rodriguez-Smith,kGyB,2023-03-15,Dividend,70,20.47,76196.85
Boyd LLC,yaAY,2024-06-15,Sell,494,28.74,52069.72
Nelson Ltd,jOrf,2024-04-11,Buy,900,393.03,48264.24
"Wilson, Davenport and Garcia",SpWc,2023-05-22,Dividend,844,486.85,21314.89
Arnold-Morales,Bvhe,2023-04-10,Interest,701,350.4,67594.85
Vasquez-Abbott,aUWY,2024-01-16,Interest,130,225.7,39068.8
"Brown, Chen and Martinez",iaPA,2023-10-05,Interest,204,347.09,41679.15
Rodriguez-Diaz,QrGH,2022-10-29,Interest,799,131.32,25556.21
Walters and Sons,HLYm,2024-02-12,Sell,501,383.19,78291.22
Hoffman-Ward,dpJu,2023-07-08,Dividend,962,385.95,28708.18
Holland-Miller,htXl,2023-11-10,Sell,653,304.99,16972.48
"Gray, Medina and Cohen",sQDf,2023-08-11,Buy,175,270.15,95044.82
Adams-Sullivan,AjDN,2023-07-08,Dividend,857,94.75,49408.61
"Norris, Lewis and Henderson",LzIR,2023-06-02,Dividend,367,128.18,8695.67
Chen LLC,YEdJ,2023-04-26,Interest,358,389.28,84381.14
Sawyer-Clark,yDUd,2024-01-12,Interest,757,167.78,37633.03
"Butler, Macdonald and Dorsey",AmeN,2023-09-29,Dividend,783,199.56,78293.23
Horton-Villarreal,MOxG,2023-10-04,Buy,201,263.21,95793.05
"Stark, Smith and Larson",YcCt,2024-04-29,Sell,265,252.71,70175.1
Adkins-Bates,ipwM,2023-01-19,Sell,333,498.35,19296.94
Preston and Sons,ndxG,2023-11-07,Interest,900,323.01,76658.41
"Castaneda, Wallace and Rogers",qgRI,2023-02-04,Buy,473,458.58,41080.98
Spears-Dixon,Iwqu,2024-04-16,Sell,623,27.75,1189.86
